canonical_path,state_slug,topic_slug,degree_segment,active_grants_count
florida/undergraduate/nursing,florida,nursing,undergraduate,402
florida/undergraduate/arts,florida,arts,undergraduate,402
florida/graduate/nursing,florida,nursing,graduate,267
florida/graduate/nursing,florida,nursing,mba,267
florida/graduate/arts,florida,arts,graduate,267
florida/graduate/arts,florida,arts,mba,267
california/high-school/nursing,california,nursing,high-school,245
california/high-school/arts,california,arts,high-school,245
california/high-school-senior/nursing,california,nursing,high-school-senior,207
california/high-school-senior/arts,california,arts,high-school-senior,207
california/undergraduate/nursing,california,nursing,undergraduate,181
california/undergraduate/arts,california,arts,undergraduate,181
illinois/high-school/nursing,illinois,nursing,high-school,173
illinois/high-school/arts,illinois,arts,high-school,173
florida/high-school/nursing,florida,nursing,high-school,148
florida/high-school/arts,florida,arts,high-school,148
connecticut/undergraduate/nursing,connecticut,nursing,undergraduate,135
connecticut/undergraduate/arts,connecticut,arts,undergraduate,135
illinois/high-school-senior/nursing,illinois,nursing,high-school-senior,135
illinois/high-school-senior/arts,illinois,arts,high-school-senior,135
connecticut/high-school/nursing,connecticut,nursing,high-school,130
connecticut/high-school/arts,connecticut,arts,high-school,130
connecticut/high-school-senior/nursing,connecticut,nursing,high-school-senior,121
connecticut/high-school-senior/arts,connecticut,arts,high-school-senior,121
texas/high-school/nursing,texas,nursing,high-school,119
texas/high-school/arts,texas,arts,high-school,119
massachusetts/undergraduate/nursing,massachusetts,nursing,undergraduate,113
massachusetts/undergraduate/arts,massachusetts,arts,undergraduate,113
florida/high-school-senior/nursing,florida,nursing,high-school-senior,110
florida/high-school-senior/arts,florida,arts,high-school-senior,110
indiana/high-school/nursing,indiana,nursing,high-school,106
indiana/high-school/arts,indiana,arts,high-school,106
texas/high-school-senior/nursing,texas,nursing,high-school-senior,102
texas/high-school-senior/arts,texas,arts,high-school-senior,102
washington/high-school/nursing,washington,nursing,high-school,86
washington/high-school/arts,washington,arts,high-school,86
washington/undergraduate/nursing,washington,nursing,undergraduate,80
washington/undergraduate/arts,washington,arts,undergraduate,80
washington/high-school-senior/nursing,washington,nursing,high-school-senior,76
washington/high-school-senior/arts,washington,arts,high-school-senior,76
california/graduate/nursing,california,nursing,graduate,75
california/graduate/nursing,california,nursing,mba,75
california/graduate/arts,california,arts,graduate,75
california/graduate/arts,california,arts,mba,75
florida/undergraduate/engineering,florida,engineering,undergraduate,74
pennsylvania/high-school/nursing,pennsylvania,nursing,high-school,74
pennsylvania/high-school/arts,pennsylvania,arts,high-school,74
massachusetts/high-school/nursing,massachusetts,nursing,high-school,72
massachusetts/high-school/arts,massachusetts,arts,high-school,72
oregon/high-school/nursing,oregon,nursing,high-school,68
oregon/high-school/arts,oregon,arts,high-school,68
virginia/undergraduate/nursing,virginia,nursing,undergraduate,65
virginia/undergraduate/arts,virginia,arts,undergraduate,65
