url,type,sourceType,score,status,titleLength,metaDescriptionLength,scholarshipResultsCount,indexable,issues
/scholarships/for-women,listing,internal,100,good,38,142,79,true,
/scholarships/out-of-state-tuition-award-3ssjelptojsq,scholarship,internal,100,good,65,160,1,true,
/scholarships/kia-america-hacu-steam-scholarship-8005q41eyewu,scholarship,internal,100,good,64,160,1,true,
/scholarships/stephen-phillips-memorial-scholarship-8qgrmeqhcacw,scholarship,internal,100,good,65,154,1,true,
/scholarships/international-student-scholarship-hreyyf4gt3tu,scholarship,internal,100,good,65,154,1,true,
/scholarships/herbert-lehman-education-fund-scholarship-for-graduates-hxwyylta6kk2,scholarship,internal,100,good,65,158,1,true,
/scholarships/provost-award-md4hn1cfxte7,scholarship,internal,100,good,65,153,1,true,
/scholarships/coco-gauff-tennis-scholarship-oxpljf22s4th,scholarship,internal,100,good,62,153,1,true,
/scholarships/hope-scholarship-pgwpjkkya1q7,scholarship,internal,100,good,65,154,1,true,
/scholarships/nike-hbcu-scholarship-qvyi3vk0ewwt,scholarship,internal,100,good,57,147,1,true,
/scholarships/all-star-college-scholarship-xk33znoi7win,scholarship,internal,100,good,61,142,1,true,
/scholarships/cheniere-hbcu-scholarship-program-xueyywtld0gl,scholarship,internal,100,good,65,144,1,true,
/scholarships/gigi-and-louise-gartner-scholarship-y4tgxt88f56k,scholarship,internal,100,good,64,160,1,true,
/scholarships/nrg-hbcu-excellence-in-education-scholarship-program-ype0jvcaw1x2,scholarship,internal,100,good,64,160,1,true,
/scholarships/rgi-scholarship-for-geospatial-and-engineering-agmszzyhpy7t,scholarship,internal,100,good,64,136,1,true,
/scholarships/anne-maureen-whitney-barrow-memorial-scholarship-coc4lpopvpam,scholarship,internal,100,good,65,152,1,true,
/scholarships/gabriel-a-hartl-scholarship-ioiorv9lp9bb,scholarship,internal,100,good,61,160,1,true,
/scholarships/robert-b-mcmillen-foundation-art-scholarship-luf8bsuya2zw,scholarship,internal,100,good,65,156,1,true,
/scholarships/paul-tsongas-scholarship-mxzdsqh3ohkk,scholarship,internal,100,good,57,160,1,true,
/scholarships/motorola-solutions-foundation-engineering-pathways-scholarship-noppoccrwsid,scholarship,internal,100,good,65,159,1,true,
/scholarships/west-virginia-national-guard-educational-encouragement-scholarship-pucxg8b68tzs,scholarship,internal,100,good,64,160,1,true,
/resources,article,internal,55,bad,37,102,,true,result_count_unavailable_internal_context|meta_description_length_out_of_range|faq_missing
/essays,essay,internal,40,bad,24,82,,true,result_count_unavailable_internal_context|title_length_out_of_range|meta_description_length_out_of_range|faq_missing
/essays/how-to-write-lee-a-christy-endowed-scholarship-scholarship-essay,essay,internal,50,bad,66,99,,true,result_count_unavailable_internal_context|title_length_out_of_range|meta_description_length_out_of_range
/essays/how-to-write-david-e-mrizek-scholarship-scholarship-essay,essay,internal,50,bad,67,98,,true,result_count_unavailable_internal_context|title_length_out_of_range|meta_description_length_out_of_range
/essays/how-to-write-san-antonio-light-endowed-scholarship-scholarship-essay,essay,internal,50,bad,69,97,,true,result_count_unavailable_internal_context|title_length_out_of_range|meta_description_length_out_of_range
