group,url,applicant_country,study_country,country,totalCountSnapshot,status,allowedForAds,robots,includeInSitemap,h1,metaTitle,qaNotes,reason,campaign_name,suggested_headline,suggested_description,geo_target,final_url,headline_1,headline_2,description,rank
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/australia/study-in/australia,Australia,Australia,,64,approved_priority,false,,,Scholarships for Students from Australia to Study in Australia,Students from Australia: Scholarships to Study in Australia | ScholarshipTop,domestic_pair_not_primary_ads,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/canada/study-in/canada,Canada,Canada,,182,approved_priority,false,,,Scholarships for Canadian Students to Study in Canada,Canadian Students: Scholarships to Study in Canada | ScholarshipTop,domestic_pair_not_primary_ads,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/canada/study-in/germany,Canada,Germany,,88,approved_priority,false,,,Scholarships for Canadian Students to Study in Germany,Canadian Students: Scholarships to Study in Germany | ScholarshipTop,germany_cluster_allowlisted,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/canada/study-in/united-states,Canada,United States,,150,approved_priority,true,,,Scholarships for Canadian Students to Study in the USA,Canadian Students: Scholarships to Study in the USA | ScholarshipTop,,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/germany/study-in/united-states,Germany,United States,,23,approved,false,,,Scholarships for Students from Germany to Study in United States,Students from Germany: Scholarships to Study in United States | ScholarshipTop,ads_optional_after_manual_QA,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/india/study-in/germany,India,Germany,,90,approved_priority,false,,,Scholarships for Indian Students to Study in Germany,Indian Students: Scholarships to Study in Germany | ScholarshipTop,germany_cluster_allowlisted,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/india/study-in/india,India,India,,39,approved,false,,,Scholarships for Indian Students to Study in India,Indian Students: Scholarships to Study in India | ScholarshipTop,ads_optional_after_manual_QA; domestic_pair_not_primary_ads,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/india/study-in/united-states,India,United States,,49,approved,false,,,Scholarships for Indian Students to Study in the USA,Indian Students: Scholarships to Study in the USA | ScholarshipTop,ads_optional_after_manual_QA,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/italy/study-in/united-states,Italy,United States,,46,approved,false,,,Scholarships for Students from Italy to Study in United States,Students from Italy: Scholarships to Study in United States | ScholarshipTop,ads_optional_after_manual_QA,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/mexico/study-in/germany,Mexico,Germany,,94,approved_priority,false,,,Scholarships for Mexican Students to Study in Germany,Mexican Students: Scholarships to Study in Germany | ScholarshipTop,germany_cluster_allowlisted,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/mexico/study-in/united-states,Mexico,United States,,81,approved_priority,true,,,Scholarships for Mexican Students to Study in the USA,Mexican Students: Scholarships to Study in the USA | ScholarshipTop,,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/new-zealand/study-in/new-zealand,New Zealand,New Zealand,,66,approved_priority,false,,,Scholarships for Students from New Zealand to Study in New Zealand,Students from New Zealand: Scholarships to Study in New Zealand | ScholarshipTop,domestic_pair_not_primary_ads,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/philippines/study-in/germany,Philippines,Germany,,96,approved_priority,false,,,Scholarships for Filipino Students to Study in Germany,Filipino Students: Scholarships to Study in Germany | ScholarshipTop,germany_cluster_allowlisted,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/philippines/study-in/united-states,Philippines,United States,,25,approved,false,,,Scholarships for Filipino Students to Study in the USA,Filipino Students: Scholarships to Study in the USA | ScholarshipTop,ads_optional_after_manual_QA,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/poland/study-in/united-states,Poland,United States,,21,approved,false,,,Scholarships for Students from Poland to Study in United States,Students from Poland: Scholarships to Study in United States | ScholarshipTop,ads_optional_after_manual_QA,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/sao-tome-principe/study-in/united-states,São Tomé & Príncipe,United States,,29,approved,false,,,Scholarships for Students from São Tomé & Príncipe to Study in United States,Students from São Tomé & Príncipe: Scholarships to Study in United States | ScholarshipTop,ads_optional_after_manual_QA,,,,,,,,,,
INDEX_GOOD,https://scholarshiptop.com/scholarships/for-students-from/south-korea/study-in/united-states,South Korea,United States,,20,approved,false,,,Scholarships for Students from South Korea to Study in United States,Students from South Korea: Scholarships to Study in United States | ScholarshipTop,ads_optional_after_manual_QA,,,,,,,,,,
