"url","http_status","response_time_ms_avg","response_time_ms_min","response_time_ms_max","html_size_kb","context_blocks","jsonld_blocks","internal_link_nav_blocks","bad_tokens","canonical","robots","result","notes"
"https://scholarshiptop.com/scholarships/texas","200","2347","1430","4174","185.4","present","4","2","none","https://scholarshiptop.com/scholarships/texas","noindex, follow","PASS","runs=3"
"https://scholarshiptop.com/scholarships/california","200","2232","1492","3659","185","present","4","2","none","https://scholarshiptop.com/scholarships/california","noindex, follow","PASS","runs=3"
"https://scholarshiptop.com/scholarships/new-york","200","2196","1421","3419","185.5","present","4","2","none","https://scholarshiptop.com/scholarships/new-york","noindex, follow","PASS","runs=3"
"https://scholarshiptop.com/scholarships/texas/tarleton-state-university","200","1966","1447","2944","180.3","present","10","2","none","https://scholarshiptop.com/scholarships/texas/tarleton-state-university","index, follow","PASS","runs=3"
"https://scholarshiptop.com/scholarships/california/california-state-university-northridge","200","16050","1201","45742","165.9","present","10","2","none","https://scholarshiptop.com/scholarships/california/california-state-university-northridge","index, follow","PASS","runs=3"
"https://scholarshiptop.com/resources/best-scholarships-texas-international-students","200","10836","1097","29762","154","present","6","2","none","https://scholarshiptop.com/resources/best-scholarships-texas-international-students","none","PASS","runs=3"
"https://scholarshiptop.com/resources/medical-scholarships-guide","200","339","322","354","108.2","present","6","2","none","https://scholarshiptop.com/resources/medical-scholarships-guide","none","PASS","runs=3"
"https://scholarshiptop.com/essays/career-goals","200","300","282","310","75.2","present","8","2","none","https://scholarshiptop.com/essays/career-goals","none","PASS","runs=3"
"https://scholarshiptop.com/compare/universities/university-of-massachusetts-amherst-vs-university-of-south-florida","200","2907","2586","3503","273.9","present","8","2","none","https://scholarshiptop.com/compare/universities/university-of-massachusetts-amherst-vs-university-of-south-florida","noindex, follow","PASS","runs=3"
"https://scholarshiptop.com/compare/states/california-vs-texas","200","2391","2045","3068","153.1","present","8","2","none","https://scholarshiptop.com/compare/states/california-vs-texas","noindex, follow","PASS","runs=3"
"https://scholarshiptop.com/providers/loyola-university-chicago","200","1572","744","2608","297.4","present","12","2","none","https://scholarshiptop.com/providers/loyola-university-chicago","none","PASS","runs=3"
