url,page_type,http_status,response_ms,html_size_kb,canonical,robots_meta,title,meta_description_present,jsonld_count,context_visible,bad_tokens,error
https://scholarshiptop.com/resources/medical-scholarships-guide,resource,200,351,105.7,https://scholarshiptop.com/resources/medical-scholarships-guide,(none),Medical Scholarships Guide for Healthcare Students,yes,6,yes,undefined;null,
https://scholarshiptop.com/essays/career-goals,essay,200,189,74.7,https://scholarshiptop.com/essays/career-goals,(none),How to Write a Career Goals Scholarship Essay,yes,8,yes,undefined;null,
https://scholarshiptop.com/essays/financial-need,essay,200,222,65.8,https://scholarshiptop.com/essays/financial-need,(none),How to Write a Financial Need Scholarship Essay,yes,8,yes,undefined;null,
https://scholarshiptop.com/resources/how-to-find-scholarships,resource,200,187,62.5,https://scholarshiptop.com/resources/how-to-find-scholarships,(none),How to Find Scholarships That Are Worth Your Time,yes,8,yes,undefined;null,
https://scholarshiptop.com/resources/best-scholarship-websites,resource,200,841,105.4,https://scholarshiptop.com/resources/best-scholarship-websites,(none),Best Scholarship Websites for Students in 2026,yes,6,yes,undefined;null,
https://scholarshiptop.com/resources/best-scholarships-texas-international-students,resource,200,30902,152.6,https://scholarshiptop.com/resources/best-scholarships-texas-international-students,(none),Best Scholarships in Texas for International Students | 2024 Guide,yes,6,yes,undefined;null,
https://scholarshiptop.com/scholarships/texas,scholarship_state,200,3186,183.8,https://scholarshiptop.com/scholarships/texas,"noindex, follow",ScholarshipTop | Find Texas Scholarships | Opportunities Available,yes,4,yes,undefined;null,
https://scholarshiptop.com/scholarships/california,scholarship_state,200,3077,183.2,https://scholarshiptop.com/scholarships/california,"noindex, follow",ScholarshipTop | Find Scholarships in California,yes,4,yes,undefined;null,
https://scholarshiptop.com/scholarships/new-york,scholarship_state,200,3239,183.8,https://scholarshiptop.com/scholarships/new-york,"noindex, follow",ScholarshipTop | Find Scholarships in New York,yes,4,yes,undefined;null,
https://scholarshiptop.com/scholarships/florida,scholarship_state,200,4465,182.4,https://scholarshiptop.com/scholarships/florida,"noindex, follow",ScholarshipTop | Explore Scholarships in Florida,yes,4,yes,undefined;null,
https://scholarshiptop.com/scholarships/illinois,scholarship_state,200,3386,183.2,https://scholarshiptop.com/scholarships/illinois,"noindex, follow",ScholarshipTop | Find Scholarships in Illinois | Opportunities,yes,4,yes,undefined;null,
https://scholarshiptop.com/scholarships/texas/tarleton-state-university,scholarship_university,200,3913,176.6,https://scholarshiptop.com/scholarships/texas/tarleton-state-university,"index, follow","ScholarshipTop | Fully Funded Scholarships at Tarleton State University, Texas 2026",yes,10,yes,undefined;null,
https://scholarshiptop.com/scholarships/california/california-state-university-northridge,scholarship_university,200,2384,162.2,https://scholarshiptop.com/scholarships/california/california-state-university-northridge,"index, follow","ScholarshipTop | Fully Funded Scholarships at California State University, Northridge, California 2026",yes,10,yes,undefined;null,
https://scholarshiptop.com/compare/states,compare_hub,200,1012,99.8,https://scholarshiptop.com/compare/states,(none),ScholarshipTop | State vs State | ScholarshipTop,yes,6,yes,undefined;null,
https://scholarshiptop.com/compare/universities,compare_hub,200,501,96.1,https://scholarshiptop.com/compare/universities,(none),ScholarshipTop | University vs University | ScholarshipTop,yes,6,no,undefined;null,
https://scholarshiptop.com/compare/states/california-vs-texas,compare_detail,200,2508,150.6,https://scholarshiptop.com/compare/states/california-vs-texas,"noindex, follow",ScholarshipTop | California vs Texas Scholarship Comparison 2026,yes,8,yes,undefined;null,
https://scholarshiptop.com/compare/universities/university-of-massachusetts-amherst-vs-university-of-south-florida,compare_detail,200,2827,269.4,https://scholarshiptop.com/compare/universities/university-of-massachusetts-amherst-vs-university-of-south-florida,"noindex, follow",ScholarshipTop | UMass Amherst vs University of South Florida Scholarships 2026,yes,8,yes,undefined;null,
https://scholarshiptop.com/providers/loyola-university-chicago,provider,200,1967,294.9,https://scholarshiptop.com/providers/loyola-university-chicago,(none),ScholarshipTop | Loyola University Chicago | Scholarship Provider,yes,12,yes,undefined;null,
https://scholarshiptop.com/providers/alamo-colleges-foundation,provider,200,2051,281.4,https://scholarshiptop.com/providers/alamo-colleges-foundation,(none),ScholarshipTop | Alamo Colleges Foundation | Scholarship Provider,yes,10,yes,undefined;null,
