url,indexable,content_quality,data_depth,internal_links,structured_data,performance,search_console_signal,opportunity_score_1_10,recommended_action
https://scholarshiptop.com/resources/medical-scholarships-guide,yes,high,high,high,yes,good,unknown,9,submit/index inspect
https://scholarshiptop.com/essays/career-goals,yes,high,high,high,yes,good,unknown,8,submit/index inspect
https://scholarshiptop.com/essays/financial-need,yes,high,medium,high,yes,good,unknown,7,wait and monitor
https://scholarshiptop.com/resources/how-to-find-scholarships,yes,high,medium,medium,yes,good,unknown,7,wait and monitor
https://scholarshiptop.com/resources/best-scholarship-websites,yes,high,medium,medium,yes,good,unknown,7,wait and monitor
https://scholarshiptop.com/resources/best-scholarships-texas-international-students,yes,high,high,high,yes,medium,unknown,8,submit/index inspect
https://scholarshiptop.com/scholarships/texas,no,high,high,high,yes,medium,unknown,5,leave as noindex
https://scholarshiptop.com/scholarships/california,no,high,high,high,yes,medium,unknown,4,leave as noindex
https://scholarshiptop.com/scholarships/new-york,no,high,high,high,yes,medium,unknown,4,leave as noindex
https://scholarshiptop.com/scholarships/florida,no,high,high,high,yes,medium,unknown,4,leave as noindex
https://scholarshiptop.com/scholarships/illinois,no,high,high,high,yes,medium,unknown,4,leave as noindex
https://scholarshiptop.com/scholarships/texas/tarleton-state-university,yes,high,high,high,yes,medium,unknown,7,wait and monitor
https://scholarshiptop.com/scholarships/california/california-state-university-northridge,yes,high,high,high,yes,medium,unknown,7,wait and monitor
https://scholarshiptop.com/compare/states,yes,medium,medium,high,yes,good,unknown,6,wait and monitor
https://scholarshiptop.com/compare/universities,yes,medium,medium,high,yes,good,unknown,6,wait and monitor
https://scholarshiptop.com/compare/states/california-vs-texas,no,high,high,high,yes,medium,unknown,5,leave as noindex
https://scholarshiptop.com/compare/universities/university-of-massachusetts-amherst-vs-university-of-south-florida,no,high,high,high,yes,low,unknown,5,leave as noindex
https://scholarshiptop.com/providers/loyola-university-chicago,yes,high,high,medium,yes,low,unknown,8,submit/index inspect
https://scholarshiptop.com/providers/alamo-colleges-foundation,yes,high,high,medium,yes,low,unknown,7,wait and monitor
