route,slug,title,type,detected_state,detected_school,current_context_card,recommended_context,risk,action
/resources/best-massachusetts-scholarships-international-students,best-massachusetts-scholarships-international-students,Best Scholarships in Massachusetts for International Students,resource,MA,,yes,state compact stats + scholarship links,low,enhance links/copy
/resources/best-new-york-scholarships-international-students,best-new-york-scholarships-international-students,Best Scholarships in New York for International Students: Top University Funding Options,resource,NY,,yes,state compact stats + scholarship links,low,enhance links/copy
/resources/best-scholarships-texas-international-students,best-scholarships-texas-international-students,Best Scholarships in Texas for International Students: 2024 Guide,resource,TX,,yes,state compact stats + scholarship links,low,enhance links/copy
/resources/columbia-university-scholarships-international-students,columbia-university-scholarships-international-students,Scholarships at Columbia University for International Students: What Funding Is Available?,resource,NY,Columbia University in the City of New York,yes,school compact stats + compare links,low,enhance links/copy
/resources/harvard-scholarships-international-students,harvard-scholarships-international-students,Scholarships at Harvard for International Students: What Aid Is Really Available,resource,MA,Harvard University,yes,school compact stats + compare links,low,enhance links/copy
/resources/mit-scholarships-international-students,mit-scholarships-international-students,Scholarships at MIT for International Students: What Aid Is Actually Available,resource,MA,Massachusetts Institute of Technology,yes,school compact stats + compare links,low,enhance links/copy
/resources/stanford-scholarships-international-students,stanford-scholarships-international-students,Scholarships at Stanford for International Students: What Funding Is Actually Available,resource,CA,Stanford University,yes,school compact stats + compare links,low,enhance links/copy
/resources/yale-scholarships-international-students,yale-scholarships-international-students,Scholarships at Yale for International Students: What Funding Is Available?,resource,CT,Yale University,yes,school compact stats + compare links,low,enhance links/copy
/essays/financial-need,financial-need,How to Write a Financial Need Scholarship Essay,essay,,,no,none,low,keep hidden
/essays/stem,stem,How to Write a STEM Scholarship Essay,essay,,,no,none,low,keep hidden
/resources/aauw-fellowships-international-women,aauw-fellowships-international-women,"AAUW Fellowships for International Women: Eligibility, Benefits, and How to Apply",resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/adobe-research-fellowship-international-students,adobe-research-fellowship-international-students,"Adobe Research Fellowship for International Students: Eligibility, Application, and Key Details",resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/aga-khan-foundation-scholarship-international-students,aga-khan-foundation-scholarship-international-students,"Aga Khan Foundation Scholarship for International Students: Eligibility, Benefits, and How to Apply",resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/appeal-financial-aid-scholarship-decisions,appeal-financial-aid-scholarship-decisions,How College Students Can Appeal Financial Aid and Scholarship Decisions,resource,,,no,none,low,skip
/resources/appeal-scholarship-rejection-international-student,appeal-scholarship-rejection-international-student,How to Appeal a Scholarship Rejection as an International Student,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/apply-10-scholarships-a-month-international-student,apply-10-scholarships-a-month-international-student,How to Apply to 10 Scholarships a Month as an International Student,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/apply-scholarships-international-student-usa,apply-scholarships-international-student-usa,How to Apply for Scholarships as an International Student in the USA,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/architecture-scholarships-international-students,architecture-scholarships-international-students,Scholarships for International Students in Architecture: Where to Find Funding,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/are-scholarships-taxable-for-international-students-usa,are-scholarships-taxable-for-international-students-usa,Understanding the Tax Implications of Scholarships for International Students in the USA,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/arts-humanities-scholarships-international-students,arts-humanities-scholarships-international-students,Scholarships for International Students in Arts and Humanities: Real Funding Options,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/asian-development-bank-scholarships-international-students,asian-development-bank-scholarships-international-students,Asian Development Bank Scholarships for International Students: ADB-JSP Guide,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/athletic-scholarships-international-students-usa,athletic-scholarships-international-students-usa,Athletic Scholarships for International Students in the USA: What to Know,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/athletics-improve-scholarship-chances,athletics-improve-scholarship-chances,How College Students Can Use Athletics to Improve Scholarship Chances,resource,,,no,none,low,skip
/resources/best-architecture-scholarships-usa,best-architecture-scholarships-usa,Best Scholarships in the USA for College Students Majoring in Architecture,resource,,,no,none,low,skip
/resources/best-biology-scholarships-usa,best-biology-scholarships-usa,Best Scholarships in the USA for College Students Majoring in Biology,resource,,,no,none,low,skip
/resources/best-chemistry-scholarships-usa,best-chemistry-scholarships-usa,Best Scholarships in the USA for College Students Majoring in Chemistry,resource,,,no,none,low,skip
/resources/best-criminal-justice-scholarships-usa,best-criminal-justice-scholarships-usa,Best Scholarships in the USA for College Students Majoring in Criminal Justice,resource,,,no,none,low,skip
/resources/best-education-scholarships-usa,best-education-scholarships-usa,Best Scholarships in the USA for College Students Majoring in Education,resource,,,no,none,low,skip
/resources/best-engineering-scholarships-school-students-usa,best-engineering-scholarships-school-students-usa,Best Scholarships for School Students Interested in Engineering in the USA,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/best-finance-scholarships-usa,best-finance-scholarships-usa,Best Scholarships in the USA for College Students Majoring in Finance,resource,,,no,none,low,skip
/resources/best-free-scholarship-database-international-students,best-free-scholarship-database-international-students,Top Free Scholarship Databases for International Students,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/best-grants-usa-international-students,best-grants-usa-international-students,Best Grants in the USA for International Students: Real Funding Options,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/best-journalism-scholarships-usa,best-journalism-scholarships-usa,Best Scholarships in the USA for College Students Majoring in Journalism,resource,,,no,none,low,skip
/resources/best-music-scholarships-usa-college-students,best-music-scholarships-usa-college-students,Best Scholarships in the USA for College Students Majoring in Music,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/best-nursing-scholarships-usa,best-nursing-scholarships-usa,Best Scholarships in the USA for College Students Majoring in Nursing,resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/best-physics-scholarships-usa,best-physics-scholarships-usa,Best Scholarships in the USA for College Students Majoring in Physics,resource,,,no,none,low,skip
/resources/best-scholarship-essay-examples-international-students,best-scholarship-essay-examples-international-students,"Best Scholarship Essay Examples for International Students: Samples, Tips, and Structure",resource,,,no,improve resolver / monitor,low,resolver candidate
/resources/best-scholarship-search-engine-international-students,best-scholarship-search-engine-international-students,Top Scholarship Search Engines for International Students,resource,,,no,improve resolver / monitor,low,resolver candidate
