"source_name","status_in_customer_package","row_count","package_path","data_category","already_used_on_scholarshiptop","current_usage","could_use_for_scholarshiptop","best_page_targets","possible_fields_to_use","implementation_type","priority","risk","permission_status","recommended_action","notes"
"FREIDA JSON:API","CLOSED_LOCAL_PACKAGE_READY","11217","04_data_deliverable\02_local_normalized_sources\freida","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"NRMP data.json","CLOSED_SUPABASE_EXPORTED_LOCALLY","28225","04_data_deliverable\01_legacy_supabase_exports\nrmp","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"NRMP Main Match Program Results PDF","CLOSED_SUPABASE_EXPORTED_LOCALLY","28225","04_data_deliverable\01_legacy_supabase_exports\nrmp","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"ResidencyAdvisor","CLOSED_SUPABASE_EXPORTED_LOCALLY","13843","04_data_deliverable\01_legacy_supabase_exports\residency_advisor","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"residencyprogramslist.com","PARTIAL_LOCAL","82","package evidence/manifest or no normalized deliverable located","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","medium","permission_received_per_user_statement","blocked/manual","Do not use until access/export/legal status is resolved."
"MedMap.io","CLOSED_SUPABASE_EXPORTED_LOCALLY","12635","04_data_deliverable\01_legacy_supabase_exports\medmap","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"matcharesident.com","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"residencyprograms.io","CLOSED_LOCAL_PACKAGE_READY","5723","package evidence/manifest or no normalized deliverable located","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"admit.org","CLOSED_LOCAL_PACKAGE_READY","5454","04_data_deliverable\03_newly_collected_sources\admit_residency_program_stats","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"FREIDA program pages (supplemental)","CLOSED_LOCAL_PACKAGE_READY","11217","04_data_deliverable\02_local_normalized_sources\freida","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"Individual program websites","NOT_STARTED","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"ABIM","CLOSED_LOCAL_PACKAGE_READY","632","04_data_deliverable\03_newly_collected_sources\board_pass_abim_2023_2025","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"ABFM","CLOSED_SUPABASE_EXPORTED_LOCALLY","4791","04_data_deliverable\01_legacy_supabase_exports\board_pass_abfm","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"ABEM","CLOSED_SUPABASE_EXPORTED_LOCALLY","1108","04_data_deliverable\01_legacy_supabase_exports\board_pass_abem","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"ABP","CLOSED_SUPABASE_EXPORTED_LOCALLY","202","04_data_deliverable\01_legacy_supabase_exports\board_pass_abp","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"ABS","CLOSED_SUPABASE_EXPORTED_LOCALLY","630","04_data_deliverable\01_legacy_supabase_exports\board_pass_abs","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"ABOG","CLOSED_LOCAL_PACKAGE_READY","198","04_data_deliverable\03_newly_collected_sources\board_pass_abog_qe_2023_2025","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"ABOMS","CLOSED_LOCAL_PACKAGE_READY","96","04_data_deliverable\03_newly_collected_sources\board_pass_aboms_2019_2025","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"ORIN","BLOCKED_NEEDS_ACCESS_OR_TERMS","4","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"EMRA Match","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"SVS Program Profiles","CLOSED_LOCAL_PACKAGE_READY","130","04_data_deliverable\02_local_normalized_sources\svs","residency_only","no","Not currently wired into ScholarshipTop static enrichment outputs.","future medical/school vertical only","future medical/residency vertical only","program/institution/specialty fields; not relevant to current scholarship pages","future_med_vertical","low","medium","permission_received_per_user_statement","medical vertical only","Relevant for future medical/pre-med/residency vertical, not current general scholarship UX."
"ASN Training Directory","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"AAN Fellowship Directory","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
"AAAAI Fellowship Directory","BLOCKED_NEEDS_ACCESS_OR_TERMS","n/a","no normalized deliverable in package","blocked_or_partial","no","Not currently wired into ScholarshipTop static enrichment outputs.","no","none for current ScholarshipTop","source-specific fields require downstream shaping before display","needs_original_source_recollect","low","high","blocked/manual; do not use until resolved","blocked/manual","Do not use until access/export/legal status is resolved."
