id,title,provider,url,duplicate_key,duplicate_group_size
005d84fb-81b0-41b2-98b0-ca51df943615,Bill Cowles Scholarship,PGA of America - Georgia Section,https://app.scholarships360.org/?status=student,norm_title:bill cowles scholarship,2
dc9f9434-d545-4606-b1a6-bc1796bffd80,Bill Cowles Scholarship,PGA of America - Georgia Section,https://bigfuture.collegeboard.org/scholarships/bill-cowles-scholarship,norm_title:bill cowles scholarship,2
02a1456f-5235-4a72-b98f-9b7dddbd25e2,The AW Bridal Scholarship,,https://www.scholarships.com/scholarships/the-aw-bridal-scholarship,norm_title:the aw bridal scholarship,2
aaa5c58c-5c95-42cf-8375-4378808748b9,The AW Bridal Scholarship,AW Bridal,https://www.mastersportal.com/scholarships/6743/the-aw-bridal-scholarship.html,norm_title:the aw bridal scholarship,2
02c1b63f-ce0e-492e-91d0-0b86ee419c1a,Music Scholarship,Tarleton State University,https://tarleton.scholarships.ngwebsolutions.com/Scholarships/Search,norm_title:music scholarship,4
2bb8dc5c-10d4-4630-a3af-89a3ffa497f2,Music Scholarship,Stetson University,https://www.stetson.edu/administration/financial-aid/scholarships,norm_title:music scholarship,4
49c6a8f9-b4d6-40af-a8f1-c1aa6800dbde,Music Scholarship,University of Leicester,https://www.mastersportal.com/scholarships/3935/music-scholarship.html,norm_title:music scholarship,4
5590bdda-ceeb-44dd-89d8-cadd05271eba,Music Scholarship,University of Tampa,https://www.ut.edu/admissions/financial-aid/departmental-scholarships/music-scholarships,norm_title:music scholarship,4
03ca635b-5577-44bb-be3f-5d97466774ce,Cure Cancer Support Scholarship,,https://www.scholarships.com/scholarships/cure-cancer-support-scholarship,norm_title:cure cancer support scholarship,2
31a7784a-d63a-4387-91bc-79e68acefe16,CURE Cancer Support Scholarship,Lep Foundation for Youth Education,https://bigfuture.collegeboard.org/scholarships/cure-cancer-support-scholarship,norm_title:cure cancer support scholarship,2
04db2294-a694-468b-81c8-fdfe737fe584,Pay It Forward Scholarship,Amber Wojcik,https://bold.org/scholarships/pay-it-forward-scholarship-1,norm_title:pay it forward scholarship,2
d2b9d192-6631-4f51-b85e-580fbeefaecc,Pay It Forward Scholarship,Alamo Colleges Foundation,https://alamo.academicworks.com/opportunities/3773,norm_title:pay it forward scholarship,2
062640ef-154a-4ca6-b4d5-23b64086eeed,Centuri Scholarship,Centuri Group,https://app.scholarships360.org/?status=student,norm_title:centuri scholarship,2
3aea2196-9bf2-4432-a04d-6b16ccb9a10e,Centuri Scholarship,Centuri Group,https://bigfuture.collegeboard.org/scholarships/centuri-scholarship,norm_title:centuri scholarship,2
0677fbfd-51cd-4496-91c7-ec377b53372a,Power Life Sciences Scholarship for Clinical Trial Accessibility,Power Life Sciences,https://bigfuture.collegeboard.org/scholarships/power-life-sciences-scholarship-for-clinical-trial-accessibility,norm_title:power life sciences scholarship for clinical trial accessibility,2
1d205d2e-f61f-4ac5-a92e-98c51b8081b3,Power Life Sciences Scholarship for Clinical Trial Accessibility,Power Life Sciences,https://app.scholarships360.org/?status=student,norm_title:power life sciences scholarship for clinical trial accessibility,2
06b87aa3-0a15-4c5c-bc9d-4cd1dd6993eb,Scholarship for degree and exchange study in Estonia,University of Tartu,https://www.mastersportal.com/scholarships/7605/scholarship-for-degree-and-exchange-study-in-estonia.html,norm_title:scholarship for degree and exchange study in estonia,2
9365cbd1-b3ef-4159-9a7f-5f7d38db92c3,Scholarship for degree and exchange study in Estonia,The Education and Youth Board,https://www.mastersportal.com/scholarships/8747/scholarship-for-degree-and-exchange-study-in-estonia.html,norm_title:scholarship for degree and exchange study in estonia,2
0937b3dd-91d1-453d-8e99-e86309bc4c14,Brian Terry Scholarship,,https://www.scholarships.com/scholarships/brian-terry-scholarship,norm_title:brian terry scholarship,2
603969cf-e3b3-4e73-8b3e-b51af103c471,Brian Terry Scholarship,Unigo listing,https://www.unigo.com/scholarships/high-school-students/scholarships-for-high-school-seniors/brian-terry-scholarship,norm_title:brian terry scholarship,2
0941c910-52f3-4926-a082-17679fca2d82,Forté Future Leaders Scholarship,Forté Foundation,https://app.scholarships360.org/?status=student,norm_title:fort future leaders scholarship,2
d58847ae-0a42-48ca-bd68-b98e340dc9bb,Forté Future Leaders Scholarship,Forté Foundation,https://www.scholarships.com/scholarships/fort%C3%A9-future-leaders-scholarship,norm_title:fort future leaders scholarship,2
0a00ac56-a5b6-433e-afba-ec0b016fc7b8,Honors Program Scholarship,Framingham State University,https://bigfuture.collegeboard.org/scholarships/honors-program-scholarship,norm_title:honors program scholarship,2
31c645e0-2395-458c-9173-f58dfea2b08f,Honors Program Scholarship,Johnson County Community College,https://www.jccc.edu/admissions/financial-aid/aid-types/scholarships,norm_title:honors program scholarship,2
0a9747d1-b8cd-4efb-9ea6-b25b61ebb7ad,D. Colman Witte Scholarship,Philadelphia Foundation,https://bigfuture.collegeboard.org/scholarships/d-colman-witte-scholarship,norm_title:d colman witte scholarship,2
9c887bc9-2fc2-4ccb-9953-29fc3f288547,D. Colman Witte Scholarship,Philadelphia Foundation,https://app.scholarships360.org/?status=student,norm_title:d colman witte scholarship,2
0a9d18f8-e2a7-444b-a6e6-b36802bc53d3,Christopher Mark Pitkin Memorial Scholarship,Hemophilia Foundation of Southern California,https://bigfuture.collegeboard.org/scholarships/christopher-mark-pitkin-memorial-scholarship,norm_title:christopher mark pitkin memorial scholarship,2
63d39ba3-df18-4879-aa51-4871e35ef122,Christopher Mark Pitkin Memorial Scholarship,,https://www.scholarships.com/scholarships/christopher-mark-pitkin-memorial-scholarship,norm_title:christopher mark pitkin memorial scholarship,2
0b092e21-5a9a-4c19-a8aa-abd661d43c04,For A Bright Future Scholarship Programs,Unigo listing,https://www.unigo.com/scholarships/by-major/cybersecurity-scholarships/for-a-bright-future-scholarship-programs,norm_title:for a bright future scholarship programs,2
ce0bbf2f-f810-4ef0-98fa-e0450fdd9ae0,For A Bright Future Scholarship Programs,,https://www.scholarships.com/scholarships/for-a-bright-future-scholarship-programs,norm_title:for a bright future scholarship programs,2
0b0b506e-cc03-43c1-8b34-f7ca7fca2532,College of Arts & Sciences Scholarship,Stetson University,https://www.stetson.edu/administration/financial-aid/scholarships,norm_title:college of arts sciences scholarship,2
a1dd9ae1-41cd-4089-9b60-13cd1cb8ba1d,College of Arts & Sciences Scholarship,Loyola University Chicago,https://luc.academicworks.com/,norm_title:college of arts sciences scholarship,2
0b66953f-2b73-4b68-a900-02cab652aaa7,Bishop John Bryson Chane Scholarship for Social Justice,Unigo listing,https://www.unigo.com/scholarships/high-school-students/scholarships-for-high-school-seniors/bishop-john-bryson-chane-scholarship-for-social-justice,norm_title:bishop john bryson chane scholarship for social justice,2
5a8a45ba-504c-4b02-bd29-8e33e7380081,Bishop John Bryson Chane Scholarship for Social Justice,,https://www.scholarships.com/scholarships/bishop-john-bryson-chane-scholarship-for-social-justice,norm_title:bishop john bryson chane scholarship for social justice,2
0b7ac321-1e1a-4741-8836-d2486844f910,Foster Love American Industries Scholarship,,https://www.scholarships.com/scholarships/foster-love-american-industries-scholarship,norm_title:foster love american industries scholarship,2
676420eb-daa1-4471-9c1c-e4e92632d454,Foster Love American Industries Scholarship,Unigo listing,https://www.unigo.com/scholarships/high-school-students/scholarships-for-high-school-seniors/foster-love-american-industries-scholarship,norm_title:foster love american industries scholarship,2
0b9fbfc5-148b-4e01-a322-536e4c529e63,Feinstein Fund for Philadelphia Scholars,Philadelphia Foundation,https://app.scholarships360.org/?status=student,norm_title:feinstein fund for philadelphia scholars,2
cf4fa0ee-5664-457b-9717-a51f7706d5d4,Feinstein Fund for Philadelphia Scholars,Philadelphia Foundation,https://bigfuture.collegeboard.org/scholarships/feinstein-fund-for-philadelphia-scholars,norm_title:feinstein fund for philadelphia scholars,2
0ba3075b-c6a0-46e4-9802-8fac21c564d4,British Chevening Scholarship,The University of Manchester,https://www.mastersportal.com/scholarships/1902/british-chevening-scholarship.html,norm_title:british chevening scholarship,2
f00346ab-f87d-46f9-b4e9-e5da9b4d831a,British Chevening Scholarship,UWE Bristol (University of the West of England),https://www.mastersportal.com/scholarships/7787/british-chevening-scholarship.html,norm_title:british chevening scholarship,2
0c89f83d-14c9-40eb-b5e9-babf50ff887f,Florida Blue Nursing Scholarship,Seminole State College of Florida,https://seminolestate.academicworks.com/opportunities?utf8=%E2%9C%93&term=,norm_title:florida blue nursing scholarship,3
696353ba-6361-481c-9495-92d3cd1eac25,Florida Blue Nursing Scholarship,Broward College,https://www.broward.edu/admissions/financial-aid/scholarships/scholarships-list.html,norm_title:florida blue nursing scholarship,3
92c8273f-e43a-426f-a0dc-0d06b05cc90a,Florida Blue Nursing Scholarship,Eastern Florida State College,https://easternflorida.academicworks.com/opportunities/7943,norm_title:florida blue nursing scholarship,3
0cc89128-b60f-4b32-aad2-f1970d69a11e,MPOWER Global Citizen Scholarship,MPOWER Financing,https://www.mastersportal.com/scholarships/14162/mpower-global-citizen-scholarship.html,norm_title:mpower global citizen scholarship,2
7497725a-ebbd-41da-abed-dc76c5bc7c88,MPOWER Global Citizen Scholarship,MPOWER Financing,https://www.iefa.org/scholarships/3588/MPOWER_Global_Citizen_Scholarship,norm_title:mpower global citizen scholarship,2
0cdb5d4e-b30c-43d1-bdaa-24aa02dbb83c,Helios Education Foundation First Generation Scholarship,Pensacola State College,https://pensacolastate.scholarships.ngwebsolutions.com/Scholarships/Search,norm_title:helios education foundation first generation scholarship,3
b52c899a-1b2e-415c-96d1-f44218e63a70,Helios Education Foundation First Generation Scholarship,Broward College,https://www.broward.edu/admissions/financial-aid/scholarships/scholarships-list.html,norm_title:helios education foundation first generation scholarship,3
d154eac0-ab88-4143-8e90-93ab2e3339dc,Helios Education Foundation First Generation Scholarship,The College of the Florida Keys,https://www.cfk.edu/discover/cfk-foundation/scholarship-info,norm_title:helios education foundation first generation scholarship,3
