source,total,duplicates_count,suspicious_count,weak_count,expired_count,quality_score_avg
bigfuture,9894,4943,151,3,3231,74.13
scholarships_com,2528,68,13,1919,319,89.29
iefa,1470,30,89,96,0,95.98
mastersportal,968,67,7,959,8,65.59
wemakescholars,945,136,76,0,1,91.76
bold_org,795,9,46,1,261,92.72
scholarships360,207,207,4,2,3,58.96
daad,165,4,68,0,0,85.45
scholarship_america,117,2,0,22,63,89.36
scholars4dev,52,3,9,0,3,91.63
unigo,32,20,32,0,0,45
mina7portal,10,0,1,0,0,97
opportunitydesk,9,2,9,6,0,41.11
oneyoungworld,8,0,1,0,1,94.38
armacad,5,0,5,0,5,55
simpler_grants_gov,3,3,0,3,1,15
ed_gov_html,1,0,1,0,0,70
test,1,0,0,1,0,50
uoregon_research_html,1,0,0,0,0,100
