batch_number,slug,scholarship_uuid,title,provider,amount,deadline,category,source_url_present,indexable_en,risk_score,include_yes_no,reason,expected_translation_complexity
"1","brace-family-graduate-scholarship-in-electrical-and-computer-engineering-brace-family-graduate-scholarshi","607f3607-4d33-4ce3-b551-57e549971d58","Brace Family Graduate Scholarship in Electrical and Computer Engineering at University of Waterloo 2026","University of Waterloo, Canada","Partial Funding, CAD 10,000","31 May, 2026","stem","yes","yes","0","yes","indexable with stable fields","medium"
"1","bits-rmit-phd-program-2024-29","6fd301d2-a095-46d3-bb4d-47cfb455423c","BITS-RMIT PhD Program 2024-29","RMIT University, Melbourne City campus","Partial funding","01 Jan 2029","stem","yes","yes","0","yes","indexable with stable fields","medium"
"1","al-alfi-foundation-sustainable-development-fellowship-at-the-american-un-al-alfi-foundation-sustainable-d","dbb4e829-235c-4a90-ad0b-cc5c5dce0c81","Al Alfi Foundation Sustainable Development Fellowship at The American University in Cairo 2026","The American University in Cairo","Full Funding, Tuition fees + Services & Activities fees + Cost of books","08 May, 2026","stem","yes","yes","0","yes","indexable with stable fields","medium"
"1","academic-excellence-scholarship-at-hult-international-business-school-ma-academic-excellence-scholarship-","61d2da59-fe49-4bf6-8438-66c258b6f68d","Academic Excellence Scholarship at Hult international Business School (Masters) 2026","Hult International Business School, Boston","Partial Funding, Varies","29 May, 2026","miscellaneous","yes","yes","0","yes","indexable with stable fields","medium"
"1","dollar-sense-scholarship-edelmanfinancialengines","d6271735-5e24-4ccb-85d4-822884ac06ff","Dollar Sense Scholarship","Provider listed on ScholarshipTop","$5,000","June 22, 2026 3:00 PM CT","education","yes","yes","0","yes","indexable with stable fields","medium"
"1","wellington-women-lawyers-association-scholarships-at-victoria-university-wellington-women-lawyers-associa","0745bfb5-798a-4521-b18b-b97c0d6e24e4","Wellington Women Lawyers Association Scholarships at Victoria University of Wellington 2026","Victoria University of Wellington","Partial Funding, NZD 5,000","31 May, 2026","law","yes","yes","0","yes","indexable with stable fields","medium"
"1","mckenzie-postdoctoral-fellowships-at-the-university-of-melbourne-2026-mckenzie-postdoctoral-fellowship","ba948a22-d554-417d-84e5-f4d90a5414bd","McKenzie Postdoctoral Fellowships at The University of Melbourne 2026","University of Melbourne","Partial Funding, Salary at Academic Level A6 + Additional research project allocation of up to AUD 25,000","19 Aug, 2026","miscellaneous","yes","yes","0","yes","indexable with stable fields","medium"
"1","fujitsu-cyber-security-services-scholarships-at-victoria-university-of-w-fujitsu-cyber-security-services-","b5403cf5-6502-45ef-8b28-e2c69fd66ec0","Fujitsu Cyber Security Services Scholarships at Victoria University of Wellington 2026","Victoria University of Wellington","Only tuition fees, Upto NZD 9,000","31 May, 2026","stem","yes","yes","0","yes","indexable with stable fields","medium"
"1","early-payment-discount-postgraduate-september-at-university-of-surrey-20-early-payment-discount-postgradu","e63bd6e7-225f-47d9-b0dc-6c7cdbc466bf","Early payment discount - Postgraduate September at University of Surrey 2026","University of Surrey","Partial Funding, GBP 2,000","31 May, 2026","miscellaneous","yes","yes","0","yes","indexable with stable fields","medium"
"1","d-f-mckenzie-award-at-victoria-university-of-wellington-2026-27-df-mckenzie-award-at-victoria-un","67b86e8e-43cf-4642-8e62-d8ff1a19883f","D.F. McKenzie Award at Victoria University of Wellington 2026-27","Victoria University of Wellington","Partial Funding, NZD 1,200","31 May, 2027","arts","yes","yes","0","yes","indexable with stable fields","medium"
"2","charles-s-humphrey-graduate-fellowship-in-chemistry-at-university-of-wat-charles-s-humphrey-graduate-fell","d181481d-1ef6-4bfc-a41d-e9d7b1b2c9d7","Charles S. Humphrey Graduate Fellowship in Chemistry at University of Waterloo 2026","University of Waterloo, Canada","Partial Funding, CAD 5,000","31 May, 2026","disability","yes","yes","0","yes","indexable with stable fields","medium"
"2","deoliveira-drs-daniel-anabell-maximize-your-potential-scholarship-endowm-deoliveira-drs-daniel-anabell-ma","04414994-71fe-424b-b36a-7387a31f0764","DeOliveira, Drs. Daniel & Anabell Maximize Your Potential Scholarship - Endowment at UMass Dartmouth 2026","University of Massachusetts Dartmouth","Partial Funding, Varies","01 Aug, 2026","stem","yes","yes","0","yes","indexable with stable fields","medium"
