routeGroup,route,enExists,esExists,frExists,translatedUi,partialUi,indexPolicy,inSitemap,languageSwitcher,localeLinks,sameTemplate,risk,ready,notes
"Public/static SEO (pilot)","/","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/scholarships","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/essays","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/providers","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/compare","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/resources","yes","yes","yes","partial","no DB grid on ES/FR","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/about","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/editorial-policy","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/scholarship-verification-methodology","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/how-we-rank-scholarships","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/how-scholarshiptop-works","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/financial-aid-disclaimer","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/contact","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/corrections","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/scholarship-scam-warning","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/how-we-make-money","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/essays/examples","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/essays/checklist","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/essays/financial-need","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/essays/career-goals","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/essays/mistakes","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/compare/scholarship-vs-grant","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/compare/merit-vs-need-based-scholarships","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/compare/no-essay-vs-essay-scholarships","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/compare/local-vs-national-scholarships","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/essays/outline","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/essays/leadership","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/essays/why-do-you-deserve-this-scholarship","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/essays/personal-statement","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/essays/stem","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/essays/no-essay-scholarships","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
"Public/static SEO (pilot)","/resources/how-to-find-scholarships","yes","yes","yes","partial","","index","yes (locale-es/fr buckets)","yes","0 blocking (audited)","yes","low","yes",""
