source_type,source_slug,locale,status
compare_university,harvard-university,es,review_required
compare_university,harvard-university,fr,review_required
compare_university,stanford-university,es,review_required
compare_university,stanford-university,fr,review_required
compare_university,mit,es,review_required
compare_university,mit,fr,review_required
compare_university,yale-university,es,review_required
compare_university,yale-university,fr,review_required
compare_university,princeton-university,es,review_required
compare_university,princeton-university,fr,review_required
compare_state,california,es,review_required
compare_state,california,fr,review_required
compare_state,texas,es,review_required
compare_state,texas,fr,review_required
compare_state,florida,es,review_required
compare_state,florida,fr,review_required
compare_state,new-york,es,review_required
compare_state,new-york,fr,review_required
compare_state,illinois,es,review_required
compare_state,illinois,fr,review_required
