source_type,source_slug,locale,status
essay_guide,how-to-write-a-scholarship-essay,es,review_required
essay_guide,how-to-write-a-scholarship-essay,fr,review_required
essay_guide,scholarship-essay-introduction,es,review_required
essay_guide,scholarship-essay-introduction,fr,review_required
essay_guide,common-scholarship-essay-mistakes,es,review_required
essay_guide,common-scholarship-essay-mistakes,fr,review_required
essay_guide,personal-statement-vs-scholarship-essay,es,review_required
essay_guide,personal-statement-vs-scholarship-essay,fr,review_required
essay_guide,how-long-should-a-scholarship-essay-be,es,review_required
essay_guide,how-long-should-a-scholarship-essay-be,fr,review_required
