source_type,source_slug,locale,status
provider_profile,loyola-university-chicago,es,review_required
provider_profile,loyola-university-chicago,fr,review_required
provider_profile,harvard-university,es,review_required
provider_profile,harvard-university,fr,review_required
provider_profile,stanford-university,es,review_required
provider_profile,stanford-university,fr,review_required
provider_profile,university-of-michigan,es,review_required
provider_profile,university-of-michigan,fr,review_required
provider_profile,yale-university,es,review_required
provider_profile,yale-university,fr,review_required
