wave,locale,slug,source_id,status,quality_score,has_translated_title,has_translated_body,source_indexable,slug_resolved,sitemap_eligible_yes_no,missing_reason,route_status,list_eligible_reason,in_live_xml
"21","es","louisiana-excellence-award-at-tulane-university-2026-louisiana-excellence-award-at-tu","0d337b3a-cf53-4a45-9ad4-54a0649fe6c6","published","90","yes","yes","yes","yes","yes","eligible","200","list:eligible","yes"
"21","fr","louisiana-excellence-award-at-tulane-university-2026-louisiana-excellence-award-at-tu","0d337b3a-cf53-4a45-9ad4-54a0649fe6c6","published","90","yes","yes","yes","yes","yes","eligible","200","list:eligible","yes"
"21","es","kids-chance-of-florida-scholarship-51nwvmykfayt","3ada561c-03a8-4564-a17e-e694efb21fe1","published","90","yes","yes","yes","yes","yes","eligible","200","list:eligible","yes"
"21","es","butterfield-postgraduate-environment-scholarship-at-cranfield-university-butterfield-postgraduate-environ","4579571f-ab79-4e40-8817-a1fcc203b32c","published","90","yes","yes","yes","yes","yes","eligible","200","list:eligible","yes"
"21","fr","butterfield-postgraduate-environment-scholarship-at-cranfield-university-butterfield-postgraduate-environ","4579571f-ab79-4e40-8817-a1fcc203b32c","published","90","yes","yes","yes","yes","yes","eligible","200","list:eligible","yes"
"21","fr","kids-chance-of-florida-scholarship-51nwvmykfayt","3ada561c-03a8-4564-a17e-e694efb21fe1","published","90","yes","yes","yes","yes","yes","eligible","200","list:eligible","yes"
"21","es","harjit-sandhu-criminal-justice-scholarship-uue8kcn4pdkc","5526144a-35e2-42b7-895d-3b7c90a4cab2","published","90","yes","yes","yes","yes","yes","eligible","200","list:eligible","yes"
"21","es","don-banks-memorial-scholarship-xs8oitsdmvqs","15a467bc-212b-4e87-8a65-a3bcb13040dd","published","90","yes","yes","yes","yes","yes","eligible","200","list:eligible","yes"
"21","fr","don-banks-memorial-scholarship-xs8oitsdmvqs","15a467bc-212b-4e87-8a65-a3bcb13040dd","published","90","yes","yes","yes","yes","yes","eligible","200","list:eligible","yes"
"21","es","gladys-srivastava-graduate-award-at-university-of-waterloo-gladys-srivastava-graduate-award","2e6c07e6-f48a-47e7-b034-9c8ce62d071b","published","90","yes","yes","yes","yes","yes","eligible","200","list:eligible","yes"
