source_type,source_id,source_slug,locale,status,quality_score,machine_model
"scholarship_detail","2f94ad34-bc3f-4d51-9873-ab12a3aa43da","houston-livestock-show-and-rodeo-go-texan-scholarship-scholarships-com-houston-livestock-show-and-rodeo","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","2f94ad34-bc3f-4d51-9873-ab12a3aa43da","houston-livestock-show-and-rodeo-go-texan-scholarship-scholarships-com-houston-livestock-show-and-rodeo","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","00eedc01-0f81-4f8b-b7c7-f290b6a23cb0","amazon-business-scholarship-ilzggbxm4j7s","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","00eedc01-0f81-4f8b-b7c7-f290b6a23cb0","amazon-business-scholarship-ilzggbxm4j7s","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","a5e1f92a-a7e4-4dd4-99a6-c9a968d64b39","bank-of-america-dream-makers-scholarship-0the0xjbsklf","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","a5e1f92a-a7e4-4dd4-99a6-c9a968d64b39","bank-of-america-dream-makers-scholarship-0the0xjbsklf","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","6eb6c48c-3bf8-4549-b2a6-830cc2ce718e","kay-corbett-nursing-scholarship-czdnp28o7mdw","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","6eb6c48c-3bf8-4549-b2a6-830cc2ce718e","kay-corbett-nursing-scholarship-czdnp28o7mdw","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","2f271555-2754-45ed-9442-20a5eba590aa","university-of-miami-ronald-a-hammond-scholarship-university-of-miami-ronald-a-ham","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","2f271555-2754-45ed-9442-20a5eba590aa","university-of-miami-ronald-a-hammond-scholarship-university-of-miami-ronald-a-ham","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","7a26d3ac-7a9f-4565-9fcb-6d7735962579","tsc-alumni-association-scholarship-4f6pmdfojz7x","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","7a26d3ac-7a9f-4565-9fcb-6d7735962579","tsc-alumni-association-scholarship-4f6pmdfojz7x","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","f69b2c64-f035-40df-8b0a-3fb217c9e267","chris-sally-white-scholarship-fcql8yr5glhe","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","f69b2c64-f035-40df-8b0a-3fb217c9e267","chris-sally-white-scholarship-fcql8yr5glhe","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","23e80ae4-b4e4-4292-9452-fc86d3c4825c","tallahassee-civitan-jimmy-sherrill-ragans-scholarship-f6i61gkgxpgp","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","23e80ae4-b4e4-4292-9452-fc86d3c4825c","tallahassee-civitan-jimmy-sherrill-ragans-scholarship-f6i61gkgxpgp","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
