tier,slug,uuid,title,provider,amount_present,deadline_present,source_url_present,content_completeness,indexable_en,risk_score,publish_allowed_yes_no,skip_reason
"D","requipment-jennifer-baker-memorial-scholarship-requipment-jennifer-baker-memori","06304ffe-7c1b-442a-b2a3-b6d8ec108013","REquipment Jennifer Baker Memorial Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","howard-and-helen-hauff-memorial-scholarship-howard-and-helen-hauff-memorial-","34c87cc8-e2c7-48fb-b83d-6b74166db1f4","Howard and Helen Hauff Memorial Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","boom-bucket-s-student-scholarship-program-boom-and-buckets-student-scholar","368819f3-f601-4b65-90ef-655723543fbc","Boom & Bucket's Student Scholarship Program","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","edna-r-anthony-scholarship-edna-r-anthony-scholarship","063d44f1-c747-461d-aea0-f9fce148bafa","Edna R. Anthony Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","mclean-family-scholarship-mclean-family-scholarship","c8642cf4-5ca7-44da-aec0-5768c7d7680d","McLean Family Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","martin-rasnick-memorial-research-scholarship-martin-rasnick-memorial-research","9011e597-8e4e-453c-b99e-6d76ee00dc4e","Martin Rasnick Memorial Research Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","hahperd-student-scholarship-hahperd-student-scholarship","248dae8c-32bb-44e7-bfd3-afa07e52bdcd","HAHPERD Student Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","p-j-keating-scholarship-p-j-keating-scholarship","dd73397c-6798-4ee3-8c0a-e26e0c052f5f","P.J. Keating Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","george-and-lynna-gene-cook-scholarship-george-and-lynna-gene-cook-schol","317a0ac0-9aae-4ede-9d2e-4e9e07007105","George and Lynna Gene Cook Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","bea-scholarships-in-broadcasting-electronic-media-bea-scholarships-in-broadcasting","f1b36c71-f502-452f-adf7-d745c3894af6","BEA Scholarships in Broadcasting & Electronic Media","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","spals-scholarships-spals-scholarships","dc4b0a2a-c74e-4ee4-998d-460f9d4dd806","SPALS Scholarships","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","dr-pete-magee-memorial-scholarship-dr-pete-magee-memorial-scholarsh","679b6ccb-23f7-4bf4-b44e-92673b06541d","Dr. Pete Magee Memorial Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","cecile-meyer-frampton-cornhusker-bank-scholarship-for-lne-cecile-meyer-frampton-cornhusker","7532178f-c20a-45fa-8243-2a25397ec741","Cecile Meyer Frampton/Cornhusker Bank Scholarship for LNE","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","ictm-scholarships-in-mathematics-education-ictm-scholarships-in-mathematics","3833c72b-bfe8-418a-a1c8-35e0ea352d26","ICTM Scholarships in Mathematics Education","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","richard-l-taylor-flight-training-scholarship-richard-l-taylor-flight-training","dfdf040b-ad41-43d7-925b-6ec5efbf203a","Richard L. Taylor Flight Training Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","barbara-j-penny-community-service-scholarship-barbara-j-penny-community-servic","a3964165-9dac-4c72-ad0a-5a9c18d66b83","Barbara J. Penny Community Service Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","letitia-b-carter-scholarship-letitia-b-carter-scholarship","2846e6a9-976a-44a3-b05a-96be9cd79319","Letitia B. Carter Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","dar-edward-g-and-helen-a-borgens-teacher-scholarships-dar-edward-g-and-helen-a-borgens","3b8f1300-1066-4b3a-b295-86f3ae0a55c1","DAR Edward G. and Helen A. Borgens Teacher Scholarships","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","restoration-of-sight-health-scholarship-restoration-of-sight-and-health-","e3b3adf6-dd91-4f12-b8eb-53f20da58426","Restoration of Sight & Health Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","antonia-brancia-maxon-ph-d-memorial-scholarship-antonia-brancia-maxon-ph-d-memor","003394ca-e82e-4166-a42a-69351958ca73","Antonia Brancia Maxon, Ph.D. Memorial Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","nwcl-law-scholarship-nwcl-law-scholarship","950243c8-4bf7-4fff-866b-65ec1a293b70","NWCL Law Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","asgc-undergraduate-teacher-education-scholarship-asgc-undergraduate-teacher-educa","1b9334ee-d07a-4293-822c-237df8c9f5c1","ASGC Undergraduate Teacher Education Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","lucille-stoeppler-baker-scholarship-lucille-stoeppler-baker-scholars","f9f418f0-8b29-476c-9852-d5e900e4df81","Lucille Stoeppler Baker Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","cosma-student-scholarship-cosma-student-scholarship","d30e0ac3-2a21-43c2-a5ea-e784d0da58ed","COSMA Student Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","ulsca-supply-chain-scholarship-ulsca-supply-chain-scholarship","634c9f37-3925-46c0-9711-6ed7e6223353","ULSCA Supply Chain Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","lucile-e-wright-scholarship-lucile-e-wright-scholarship","e4c50c53-5210-43ec-9262-702bd7d148c5","Lucile E. Wright Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","marian-othmer-schultz-scholarship-marian-othmer-schultz-scholarshi","cb0745d9-f3c6-49e4-82de-1dc30170a49a","Marian Othmer Schultz Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","thomas-g-giolas-ph-d-memorial-scholarship-thomas-g-giolas-ph-d-memorial-sc","c1a406ab-529d-4193-ad54-70f61f0e211d","Thomas G. Giolas, Ph.D. Memorial Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","avfuel-pilot-in-training-aviation-scholarship-avfuel-pilot-in-training-aviatio","672a09d3-547a-4acb-97a2-14a0f5ac4107","Avfuel Pilot-in-Training Aviation Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","castagra-roofing-scholarship-castagra-roofing-scholarship","d6edea4e-1df7-4c8a-94c1-f1a0d3870ff7","Castagra Roofing Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","troy-industrial-solutions-manufacturing-scholarship-troy-industrial-solutions-manufa","f1c9e3f9-97c1-4075-8c00-a4b3934a4b20","Troy Industrial Solutions Manufacturing Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","superior-seating-scholarship-superior-seating-scholarship","1e190d96-e1a3-491a-93b8-bd81dd22a14a","Superior Seating Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","loren-and-becky-roslund-scholarship-loren-and-becky-roslund-scholars","140b79f4-0ae2-4674-95ce-f7cf1f4cc781","Loren and Becky Roslund Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","robert-r-robinson-scholarship-robert-r-robinson-scholarship","c4d8422e-8628-47ec-8ca9-834e0ed194a1","Robert R. Robinson Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","indianapolis-bureau-of-jewish-education-jewish-studies-scholarship-indianapolis-bureau-of-jewish-ed","8e32ae21-f745-4a6b-a015-0989bb2a4438","Indianapolis Bureau of Jewish Education Jewish Studies Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
"D","wayne-j-wanda-m-lillich-scholarship-wayne-j-and-wanda-m-lillich-scho","66f2835e-6bfa-44f7-8246-0d82aa62f871","Wayne J. & Wanda M. Lillich Scholarship","Provider listed on ScholarshipTop","yes","yes","yes","0","yes","99","no","missing provider"
