rank,wave,slug,scholarship_uuid,title,provider,amount,deadline,category,source_url_present,en_url,indexable_en,completeness_score,risk_score,include_yes_no,skip_reason
"1","1","dr-gloria-hill-book-award-endowed-at-lewis-university-2026-dr-gloria-hill-book-award-endowe","fa9b7308-d634-4152-bfb9-2b561a94ec43","Dr. Gloria Hill Book Award Endowed at Lewis University 2026","Lewis University","Partial Funding, USD 800","10 Jun, 2026","miscellaneous","yes","https://scholarshiptop.com/scholarships/dr-gloria-hill-book-award-endowed-at-lewis-university-2026-dr-gloria-hill-book-award-endowe","yes","105","0","yes",""
"2","1","marang-gomke-jaipal-singh-munda-overseas-scholarship-2026-marang-gomke-jaipal-singh-munda-","f4e0d772-37f4-4eb2-b32e-a38a95d5f629","Marang Gomke Jaipal Singh Munda Overseas Scholarship 2026","Government of Jharkhand","Full Funding, Full tuition fee + Living allowance + Visa and medical insurance support + Other benefits","20 Jun, 2026","education","yes","https://scholarshiptop.com/scholarships/marang-gomke-jaipal-singh-munda-overseas-scholarship-2026-marang-gomke-jaipal-singh-munda-","yes","105","0","yes",""
"3","1","international-student-services-scholarship-at-columbus-state-university--international-student-services-s","f4ad112a-60c8-4d16-8c8e-21111a52f58f","International Student Services Scholarship at Columbus State University 2026","Columbus State University","Only tuition fees, Out-of-state tuition waiver","01 Oct, 2026","miscellaneous","yes","https://scholarshiptop.com/scholarships/international-student-services-scholarship-at-columbus-state-university--international-student-services-s","yes","105","0","yes",""
"4","1","chappell-and-white-phd-scholarship-at-anu-2026-chappell-and-white-phd-scholarsh","da985b85-b45c-40ac-839b-5381c6f9f661","Chappell and White PhD Scholarship at ANU 2026","Australian National University (ANU)","Full Funding, Stipend of AUD 34,000 per annum + Travel and Removal allowances + Other benefits","31 May, 2026","stem","yes","https://scholarshiptop.com/scholarships/chappell-and-white-phd-scholarship-at-anu-2026-chappell-and-white-phd-scholarsh","yes","105","0","yes",""
"5","1","environment-graduate-student-award-at-university-of-waterloo-2026-environment-graduate-student-awa","e9645775-c100-4d3f-be2c-202a0809e05e","Environment Graduate Student Award at University of Waterloo 2026","University of Waterloo, Canada","Partial Funding, up to CAD 10,000","31 May, 2026","disability","yes","https://scholarshiptop.com/scholarships/environment-graduate-student-award-at-university-of-waterloo-2026-environment-graduate-student-awa","yes","105","0","yes",""
"6","1","english-rhetoric-essay-award-at-university-of-waterloo-2026-english-rhetoric-essay-award-at-","fe73db59-2366-414b-a09b-1db10bde41b3","English Rhetoric Essay Award at University of Waterloo 2026","University of Waterloo, Canada","Partial Funding, CAD 400","31 May, 2026","humanities","yes","https://scholarshiptop.com/scholarships/english-rhetoric-essay-award-at-university-of-waterloo-2026-english-rhetoric-essay-award-at-","yes","105","0","yes",""
"7","1","ellsworth-and-karen-ledrew-international-experience-award-at-university--ellsworth-and-karen-ledrew-inter","f18b2af7-b57d-407a-8ae1-168f17fc0086","Ellsworth and Karen LeDrew International Experience Award at University of Waterloo 2026","University of Waterloo, Canada","Partial Funding, CAD 2,400","15 Jul, 2026","disability","yes","https://scholarshiptop.com/scholarships/ellsworth-and-karen-ledrew-international-experience-award-at-university--ellsworth-and-karen-ledrew-inter","yes","105","0","yes",""
"8","1","the-centre-for-trauma-sciences-scholarship-at-queen-mary-university-of-l-the-centre-for-trauma-sciences-s","fdf8ad6f-88c2-4658-a10f-1849e585b4d4","The Centre for Trauma Sciences Scholarship at Queen Mary University of London 2026","Trauma.org","Partial Funding, 50% fees waiver","01 Aug, 2026","stem","yes","https://scholarshiptop.com/scholarships/the-centre-for-trauma-sciences-scholarship-at-queen-mary-university-of-l-the-centre-for-trauma-sciences-s","yes","105","0","yes",""
"9","1","the-onsi-sawiris-scholarship-graduate-program-2026-onsi-sawiris-scholarship-program","d94e0bb4-7c16-4b07-a63f-8571325746df","The Onsi Sawiris Scholarship - Graduate Program 2026","AMIDEAST","Full Funding, Full tuition + a living allowance + travel + health insurance","31 Jul, 2026","stem","yes","https://scholarshiptop.com/scholarships/the-onsi-sawiris-scholarship-graduate-program-2026-onsi-sawiris-scholarship-program","yes","105","0","yes",""
"10","1","goldsmid-fund-bursary-at-university-college-london-2025-goldsmid-fund-bursary-at-univers","ade54e0a-88da-4c61-8a28-44f526636d63","Goldsmid Fund Bursary at University College London 2025","University College London (UCL)","Partial Funding, GBP 2,500 per year","06 Jul, 2026","stem","yes","https://scholarshiptop.com/scholarships/goldsmid-fund-bursary-at-university-college-london-2025-goldsmid-fund-bursary-at-univers","yes","105","0","yes",""
