source_type,source_id,source_slug,locale,status,quality_score,machine_model
"scholarship_detail","8beab35d-3111-425a-a94b-f06e1e0e1059","justin-jubbs-kosak-memorial-award-mlrpaseo8kts","es","published","90","stage5e-scholarship-manual-batch-10"
"scholarship_detail","8beab35d-3111-425a-a94b-f06e1e0e1059","justin-jubbs-kosak-memorial-award-mlrpaseo8kts","fr","published","90","stage5e-scholarship-manual-batch-10"
"scholarship_detail","d400696e-4bbb-49d9-95b4-948577021d05","howard-d-merchant-memorial-scholarship-mh15pxeog1xm","es","published","90","stage5e-scholarship-manual-batch-10"
"scholarship_detail","d400696e-4bbb-49d9-95b4-948577021d05","howard-d-merchant-memorial-scholarship-mh15pxeog1xm","fr","published","90","stage5e-scholarship-manual-batch-10"
"scholarship_detail","2005c444-ae73-4778-88c1-b6918f9cbac9","coach-u-scholarship-lb3sv3w5kwxs","es","published","90","stage5e-scholarship-manual-batch-10"
"scholarship_detail","2005c444-ae73-4778-88c1-b6918f9cbac9","coach-u-scholarship-lb3sv3w5kwxs","fr","published","90","stage5e-scholarship-manual-batch-10"
"scholarship_detail","35c4d275-5e08-41ba-9a43-1ad4f337d5a2","drews-scholarship-kylpi7q8yzyi","es","published","90","stage5e-scholarship-manual-batch-10"
"scholarship_detail","35c4d275-5e08-41ba-9a43-1ad4f337d5a2","drews-scholarship-kylpi7q8yzyi","fr","published","90","stage5e-scholarship-manual-batch-10"
"scholarship_detail","f0dacc6f-28eb-49f3-9d72-182cb8ddc304","felland-scholarship-kf8qwdjabwfv","es","published","90","stage5e-scholarship-manual-batch-10"
"scholarship_detail","f0dacc6f-28eb-49f3-9d72-182cb8ddc304","felland-scholarship-kf8qwdjabwfv","fr","published","90","stage5e-scholarship-manual-batch-10"
"scholarship_detail","46a0b54d-a148-4534-a886-0a2e53af03e1","amsterdam-merit-scholarship-ams-2026","es","published","90","stage5e-scholarship-manual-batch-10"
"scholarship_detail","46a0b54d-a148-4534-a886-0a2e53af03e1","amsterdam-merit-scholarship-ams-2026","fr","published","90","stage5e-scholarship-manual-batch-10"
"scholarship_detail","893bf8a8-5e6e-40b6-895b-668594efc652","porritt-family-memorial-scholarship-for-curious-kids-kcqags8b8yr8","es","published","90","stage5e-scholarship-manual-batch-10"
"scholarship_detail","893bf8a8-5e6e-40b6-895b-668594efc652","porritt-family-memorial-scholarship-for-curious-kids-kcqags8b8yr8","fr","published","90","stage5e-scholarship-manual-batch-10"
"scholarship_detail","6bab34fa-1240-4252-9d24-c14f3eb5fa32","jon-and-chenai-gillispie-trades-scholarship-kcnuh3jlh5uh","es","published","90","stage5e-scholarship-manual-batch-10"
"scholarship_detail","6bab34fa-1240-4252-9d24-c14f3eb5fa32","jon-and-chenai-gillispie-trades-scholarship-kcnuh3jlh5uh","fr","published","90","stage5e-scholarship-manual-batch-10"
"scholarship_detail","48b49fd8-1d2c-44b1-83c1-004b91448af6","dunn-scholarship-jxkrszsgjczc","es","published","90","stage5e-scholarship-manual-batch-10"
"scholarship_detail","48b49fd8-1d2c-44b1-83c1-004b91448af6","dunn-scholarship-jxkrszsgjczc","fr","published","90","stage5e-scholarship-manual-batch-10"
"scholarship_detail","41cbb27c-0cfd-40e5-ad30-e8cd6cef92a9","zonta-club-of-flint-i-scholarship-iik0yshl43yy","es","published","90","stage5e-scholarship-manual-batch-10"
"scholarship_detail","41cbb27c-0cfd-40e5-ad30-e8cd6cef92a9","zonta-club-of-flint-i-scholarship-iik0yshl43yy","fr","published","90","stage5e-scholarship-manual-batch-10"
