batch_number,slug,scholarship_uuid,title,provider,amount,deadline,source_url_present,indexable_en,risk_score,include_yes_no,reason
"11","science-technology-undergraduate-scholarship-at-smu-2026-science-technology-undergraduate","6712cf3c-5dd0-47ac-b5dd-45b68c9b6c6b","Science & Technology Undergraduate Scholarship at SMU 2026","Singapore Management University","Full Funding, Tuition fee + Annual living allowance + Other benefits","10 Jun, 2026","yes","yes","0","yes","indexable with stable fields"
"11","global-impact-scholarship-at-stevens-institute-of-technology-2026-global-impact-scholarship-at-ste","c2237dc4-ab89-4aed-bf1b-46526d1a2f84","Global Impact Scholarship at Stevens Institute of Technology 2026","Stevens Institute of Technology (SIT)","Partial Funding, Varies","15 Nov, 2026","yes","yes","0","yes","indexable with stable fields"
"11","amsterdam-merit-scholarship-ams-2026-amsterdam-merit-scholarship-ams","a6995ed9-158d-4707-88e9-531435f14527","Amsterdam Merit Scholarship (AMS) 2026","University of Amsterdam","Full Funding, Tuition fees + EUR 5,000 stipend","01 Nov, 2026","yes","yes","0","yes","indexable with stable fields"
"11","university-of-surrey-discounts-for-surrey-graduates-2026-university-of-surrey-discounts-f","41d77d3b-3192-449e-9fdc-6827548fe69d","University of Surrey Discounts for Surrey Graduates 2026","University of Surrey","Only tuition fees, up to 20% reduction on tuition fees","10 Jun, 2026","yes","yes","0","yes","indexable with stable fields"
"11","rmit-study-support-scholarship-2026-rmit-study-support-scholarship","763ad3ba-6927-4e2f-93ed-0bcf0580a260","RMIT Study Support Scholarship 2026","RMIT University, Melbourne City campus","Partial Funding, AUD 3,000 for one year","15 Jun, 2026","yes","yes","0","yes","indexable with stable fields"
"11","dr-gloria-hill-book-award-endowed-at-lewis-university-2026-dr-gloria-hill-book-award-endowe","fa9b7308-d634-4152-bfb9-2b561a94ec43","Dr. Gloria Hill Book Award Endowed at Lewis University 2026","Lewis University","Partial Funding, USD 800","10 Jun, 2026","yes","yes","0","yes","indexable with stable fields"
"11","dcu-merit-scholarship-2026-dcu-merit-scholarship","70471312-663e-4658-8f53-3ca7d6b5b981","DCU Merit Scholarship 2026","Dublin City University","Partial Funding, Varies","10 Jun, 2026","yes","yes","0","yes","indexable with stable fields"
"11","university-of-central-lancashire-women-in-stem-bursary-2026-university-of-central-lancashire","ca522948-1598-45c2-a344-c5e38106e9b5","University of Central Lancashire Women in STEM Bursary 2026","University of Central Lancashire","Partial Funding, Up to GBP 3,500 per year","10 Jun, 2026","yes","yes","0","yes","indexable with stable fields"
"11","conference-travel-grants-at-university-of-california-berkeley-2026-university-of-california-berkele","82593309-8a7f-4e06-98e7-4a439aeed565","Conference Travel Grants at University of California Berkeley 2026","University of California, Berkeley (UCB)","Partial Funding, USD 600 to USD 1,500","01 Aug, 2026","yes","yes","0","yes","indexable with stable fields"
"11","transfer-g2k-scholarship-in-arts-sciences-at-university-of-colorado-boul-transfer-g2k-scholarship-in-arts","08addb44-8cfb-4aed-a50c-08ea621e95fa","Transfer G2K Scholarship in Arts & Sciences at University of Colorado Boulder 2026","University of Colorado Boulder","Partial Funding, USD 2,000","15 Jun, 2026","yes","yes","0","yes","indexable with stable fields"
