batch_number,slug,scholarship_uuid,title,provider,amount,deadline,source_url_present,indexable_en,risk_score,include_yes_no,reason
"6","tryon-riding-hunt-club-scholarship-54xbrwgayvcn","ec8e4a1b-df74-4062-87a5-a0082270d685","Tryon Riding & Hunt Club Scholarship","Polk County Community Foundation","1,000","9/25/2026","yes","yes","0","yes","indexable with stable fields"
"6","women-who-dared-scholarship-2rz0itorqhmf","5448e827-902f-4342-88ca-0e7f3a65b313","Women Who Dared Scholarship","Polk County Community Foundation","1,000","9/25/2026","yes","yes","0","yes","indexable with stable fields"
"6","polk-county-community-foundation-special-scholarships-1tszfieevnqw","049fb12e-5e9c-4fc6-9645-a661bf9d20d9","Polk County Community Foundation Special Scholarships","Polk County Community Foundation","1,000","9/25/2026","yes","yes","0","yes","indexable with stable fields"
"6","marjorie-s-community-scholarship-12qbkh4suyyz","5fb09f47-b99a-41ac-9e62-f579d5189f97","Marjorie’s Community Scholarship","Polk County Community Foundation","1,000","9/25/2026","yes","yes","0","yes","indexable with stable fields"
"6","margery-w-bain-franklin-scholarship-0wf0oqfbztbo","d47bd9af-677b-4612-8954-ef10c1f3b935","Margery W. Bain-Franklin Scholarship","Polk County Community Foundation","1,000 - 5,000","9/25/2026","yes","yes","0","yes","indexable with stable fields"
"6","thomas-a-quinn-do-osteopathic-scholarship-d2dmabryqdg0","dd51a509-bb2d-4c77-a468-417f6999b920","Thomas A. Quinn, DO, Osteopathic Scholarship","American Osteopathic Foundation","5,000","8/18/2026","yes","yes","0","yes","indexable with stable fields"
"6","deborah-e-trautman-future-nurse-leader-scholarship-cclcsl8prwdo","affe4391-ee39-40eb-96be-5ea61ef7f16b","Deborah E. Trautman Future Nurse Leader Scholarship","American Association of Colleges of Nursing","3,500","10/1/2026","yes","yes","0","yes","indexable with stable fields"
"6","mn-international-association-of-special-investigation-units-police-scien-p2qjquhseofe","d7c87923-fcbc-4113-ac83-c24d0d29fc36","MN International Association of Special Investigation Units Police Science Discipline Scholarship","International Association of Special Investigation Units-Minnesota Chapter","500","8/31/2026","yes","yes","0","yes","indexable with stable fields"
"6","aacn2-pathway-to-critical-care-nursing-scholarship-lmr1yd8ybsgy","f41a0731-3110-4f4b-8f38-ff3812cccb23","AACN2 Pathway to Critical Care Nursing Scholarship","American Association of Colleges of Nursing","2,500","9/1/2026","yes","yes","0","yes","indexable with stable fields"
"6","pagels-engineering-scholarship-6shes9oyugcg","a21734aa-b45b-4740-9959-36a557722421","Pagels Engineering Scholarship","International Association of Special Investigation Units-Minnesota Chapter","1,000","8/31/2026","yes","yes","0","yes","indexable with stable fields"
"7","bob-baunhauser-scholarship-lex0fvrnp3g1","e153946b-dd4b-4c5d-ad7d-70f0a2003b2b","Bob Baunhauser Scholarship","Kiwanis Club of Lake Tahoe","1,500","8/26/2026","yes","yes","0","yes","indexable with stable fields"
"7","nophnrcse-scholarship-wcrzwxuql1vs","8f18fdaf-0631-48c5-acce-4d5de4f73f85","NOPHNRCSE Scholarship","National Organization of Professional Hispanic Natural Resources Conservation Service Employees","1,000","8/28/2026","yes","yes","0","yes","indexable with stable fields"
"7","martha-guerra-arteaga-scholarship-pkds7jravfsy","b0b8e633-2377-4b50-852e-3d9d6f629677","Martha Guerra-Arteaga Scholarship","National Organization of Professional Hispanic Natural Resources Conservation Service Employees","1,000","8/28/2026","yes","yes","0","yes","indexable with stable fields"
"7","we-communications-scholarship-hem6qmsfqifj","5669b1d3-e206-4889-b646-382d93566f1c","WE Communications Scholarship","UNCF","5,000","7/31/2026","yes","yes","0","yes","indexable with stable fields"
"7","neachmm-student-scholarship-mf4k4nfoy3qm","7e3e84e5-f8c2-4311-927e-4322f7f105c3","NEACHMM Student Scholarship","New England Chapter of the Academy of Certified Hazardous Materials Managers","1,000","8/25/2026","yes","yes","0","yes","indexable with stable fields"
"7","account-spark-stem-scholarship-ckmq8fzocdl3","e806b508-3b2e-4e67-96ba-be59b513f7ce","Account Spark STEM Scholarship","Center for Arab American Philanthropy","2,500 - 10,000","8/25/2026","yes","yes","0","yes","indexable with stable fields"
"7","neachmm-family-scholarship-cxncpcusw6br","f83be7a5-e317-4e1c-b9b7-47ff6bd44d69","NEACHMM Family Scholarship","New England Chapter of the Academy of Certified Hazardous Materials Managers","1,000","8/25/2026","yes","yes","0","yes","indexable with stable fields"
"7","union-plus-scholarship-kl6bevrgell6","df416c14-3165-4910-8ce1-ef4a461f1425","Union Plus Scholarship","Union Plus Education Foundation","500 - 4,000","1/31/2027","yes","yes","0","yes","indexable with stable fields"
"7","women-s-health-advocacy-scholarship-kucfahbc6ptd","952072e3-25f7-48f8-adce-61b89cdd1cdf","Women's Health Advocacy Scholarship","Latino Medical Student Association-Northeast Region","1,000","8/24/2026","yes","yes","0","yes","indexable with stable fields"
"7","70th-infantry-division-association-ellis-family-education-scholarship-1fnufdyrvzxe","f00064ac-f65c-41de-8c7d-3720ad1c0563","70th Infantry Division Association Ellis Family Education Scholarship","70th Infantry Division Association","750","8/15/2026","yes","yes","0","yes","indexable with stable fields"
"8","wisconsin-chapter-american-public-works-association-scholarship-pza6vgg6vyd2","ec3baac8-6755-4dc4-b04a-583e798d41a1","Wisconsin Chapter American Public Works Association Scholarship","American Public Works Association-Wisconsin Chapter","1,000 - 2,000","8/19/2026","yes","yes","0","yes","indexable with stable fields"
"8","at-t-the-network-bicp-lewis-latimer-scholarship-8d2h7dyqz4wg","19169e2a-4da1-4c01-83b0-298ec5d5dd50","AT&T/The NETwork BICP - Lewis Latimer Scholarship","UNCF","2,500","7/30/2026","yes","yes","0","yes","indexable with stable fields"
"8","m-moo-young-biochemical-engineering-at-university-of-waterloo-2026-m-mooyoung-biochemical-engineeri","5b651ad9-243a-4ebe-8a42-d10406510336","M Moo-Young Biochemical Engineering at University of Waterloo 2026","University of Waterloo, Canada","Partial Funding, Varies from CAD 1,000 to CAD 2,000","10 Jun, 2026","yes","yes","0","yes","indexable with stable fields"
"8","lynn-cope-conroy-graduate-scholarship-for-women-in-science-at-university-lynn-cope-conroy-graduate-schola","af6b0736-c6aa-4882-9abf-512bf4fa38d7","Lynn Cope Conroy Graduate Scholarship for Women in Science at University of Waterloo 2026","University of Waterloo, Canada","Partial Funding, Varies","10 Jun, 2026","yes","yes","0","yes","indexable with stable fields"
"8","international-bright-futures-scholarship-at-london-metropolitan-universi-london-metropolitan-university-i","c4e7832d-0f12-43c9-8f6b-9d89982618e6","International Bright Futures Scholarship at London Metropolitan University 2026","London Metropolitan University","Partial Funding, GBP 3,000 tuition fee reduction","10 Jun, 2026","yes","yes","0","yes","indexable with stable fields"
"8","iet-india-scholarship-award-2026-iet-india-scholarship-award","4c4c7e55-bbd3-4929-be34-cb6450aceeeb","IET India Scholarship Award 2026","Institution of Engineering and Technology (IET)","Partial Funding, Up to INR 3,00,000 + other benefits","15 Jun, 2026","yes","yes","0","yes","indexable with stable fields"
"8","donald-j-clough-memorial-award-at-university-of-waterloo-2026-donald-j-clough-memorial-award-a","f63e2f87-8c7e-46a0-85d0-c5b2af796fc8","Donald J. Clough Memorial Award at University of Waterloo 2026","University of Waterloo, Canada","Partial Funding, CAD 500","31 May, 2026","yes","yes","0","yes","indexable with stable fields"
