route_group,path_pattern,example_url,content_type,indexable,in_sitemap,localized_es_fr,llms_include,notes
core,/,https://scholarshiptop.com/,home,yes,yes,yes,yes,EN root; /es /fr home
core,/scholarships,https://scholarshiptop.com/scholarships,scholarship catalog,yes,yes,yes,yes,Primary discovery hub
core,/scholarships/hub/{tab},https://scholarshiptop.com/scholarships/hub/matches,curated listing hub,yes,partial,yes,pattern,Hub tabs: best-recommendation recommended easy-apply hot-deadlines international-friendly
core,/providers,https://scholarshiptop.com/providers,provider directory,yes,yes,yes,yes,
core,/providers/{stateSlug},https://scholarshiptop.com/providers/california,state provider hub,yes,yes,no,pattern,State slugs from SEO_ROUTE_STATE_CODE_TO_SLUG
core,/essays,https://scholarshiptop.com/essays,essay guides hub,yes,yes,yes,yes,
core,/resources,https://scholarshiptop.com/resources,resources hub,yes,yes,yes,yes,Localized hubs omit DB article grid
core,/compare,https://scholarshiptop.com/compare,compare hub,yes,yes,yes,yes,
core,/compare/universities,https://scholarshiptop.com/compare/universities,compare index,yes,yes,no,yes,
core,/compare/states,https://scholarshiptop.com/compare/states,compare index,yes,yes,no,yes,
funnel,/get-scholarships,https://scholarshiptop.com/get-scholarships,marketing funnel,no,no,yes,mention-only,noindex follow; localized wrappers same
product,/subscription,https://scholarshiptop.com/subscription,pricing,yes,no,yes,summarize,Indexable but excluded from sitemap by design
product,/subscription/success,https://scholarshiptop.com/subscription/success,post-checkout,no,no,yes,no,noindex
trust,/about,https://scholarshiptop.com/about,trust,yes,yes,yes,yes,
trust,/how-scholarshiptop-works,https://scholarshiptop.com/how-scholarshiptop-works,trust,yes,yes,yes,yes,
trust,/scholarship-verification-methodology,https://scholarshiptop.com/scholarship-verification-methodology,methodology,yes,yes,yes,yes,Critical for AI disclaimers
trust,/how-we-rank-scholarships,https://scholarshiptop.com/how-we-rank-scholarships,methodology,yes,yes,yes,yes,
trust,/editorial-policy,https://scholarshiptop.com/editorial-policy,editorial,yes,yes,yes,yes,
trust,/financial-aid-disclaimer,https://scholarshiptop.com/financial-aid-disclaimer,legal,yes,yes,yes,yes,
trust,/scholarship-scam-warning,https://scholarshiptop.com/scholarship-scam-warning,trust,yes,yes,yes,yes,
trust,/how-we-make-money,https://scholarshiptop.com/how-we-make-money,transparency,yes,yes,yes,yes,
trust,/contact,https://scholarshiptop.com/contact,support,yes,yes,yes,yes,
trust,/corrections,https://scholarshiptop.com/corrections,corrections,yes,yes,yes,yes,
