"URL","HTTP status","Robots meta","Canonical","Hreflang count","Title/H1 signal","Approx visible words","Recommended verdict","Notes"
"https://scholarshiptop.com/","200","indexable default","https://scholarshiptop.com","4","Get Matched With Scholarships in 2 Minutes","4943","Keep index","Strong home/entity page with hreflang and schema."
"https://scholarshiptop.com/scholarships","200","index, follow","https://scholarshiptop.com/scholarships","4","Scholarship matches","263","Keep index; improve hub body","Core surface; visible text looked light in script-stripped sample."
"https://scholarshiptop.com/providers","200","indexable default","https://scholarshiptop.com/providers","4","Scholarship Providers","606","Keep index","Good provider hub with schema."
"https://scholarshiptop.com/compare","200","indexable default","https://scholarshiptop.com/compare","4","Scholarship Comparisons","700","Keep index","Useful compare hub; keep query variants noindex."
"https://scholarshiptop.com/resources","200","indexable default","https://scholarshiptop.com/resources","4","Resources - Guides & Tips","566","Keep index","Strong supporting hub."
"https://scholarshiptop.com/resources?cat=ai","200","noindex, follow","https://scholarshiptop.com/resources","4","Resources - Guides & Tips","459","Keep noindex/follow","Correct category/filter query handling."
"https://scholarshiptop.com/essays","200","indexable default","https://scholarshiptop.com/essays","4","Scholarship Essay Guides & Examples (2026)","716","Keep index","Good essay hub."
"https://scholarshiptop.com/essays/examples","200","indexable default","https://scholarshiptop.com/essays/examples","4","Scholarship Essay Examples","450","Keep index; improve depth","Useful, but could be deeper."
"https://scholarshiptop.com/llms.txt","200","n/a","n/a","0","LLM guide text","302","Keep accessible","Good concise AI-agent guide."
"https://scholarshiptop.com/llms-full.txt","200","n/a","n/a","0","Extended LLM guide text","1036","Keep accessible; improve","Good GEO asset; add citation/freshness/non-inference sections."
"https://scholarshiptop.com/scholarships/allan-and-louise-anderson-and-elaine-andrew-bursary-6579","200","index, follow","self","4","Allan and Louise Anderson and Elaine Andrew Bursary","662","Keep index; fix title accuracy","Useful detail; title template included USA wording for a Canadian/RRC Winnipeg scholarship."
"https://scholarshiptop.com/scholarships/benjamin-h-murray-memorial-scholarship-9504","200","index, follow","self","4","Benjamin H. Murray Memorial Scholarship","645","Keep index","Useful scholarship detail with hreflang."
"https://scholarshiptop.com/scholarships/for-women","200","index, follow","self","0","Scholarships for Women","741","Keep index","Useful SEO landing page; hreflang absent if no localized equivalent."
"https://scholarshiptop.com/scholarships/engineering","200","index, follow","self","0","Engineering scholarships","746","Keep index","Useful topical landing page."
"https://scholarshiptop.com/scholarships/category/stem","200","indexable default","self","4","STEM Scholarships","1821","Keep index","Strong category hub."
"https://scholarshiptop.com/scholarships/hub/international-friendly","200","index, follow","self","0","International-friendly scholarships","1754","Keep index","Strong hub; localized alternates absent."
"https://scholarshiptop.com/es/scholarships/eitel-scholarship-8524","200","index, follow","self","4","Eitel Scholarship","753","Keep index if translation quality-pass","Good no-fallback localized detail; title proper noun remains English."
"https://scholarshiptop.com/fr/scholarships/eitel-scholarship-8524","200","index, follow","self","4","Eitel Scholarship","754","Keep index if translation quality-pass","Good no-fallback localized detail."
"https://scholarshiptop.com/es/scholarships/this-localized-page-should-not-exist-999999","404","noindex behavior","none","0","404","6","404/noindex","Correct no English fallback behavior."
"https://scholarshiptop.com/fr/scholarships/this-localized-page-should-not-exist-999999","404","noindex behavior","none","0","404","6","404/noindex","Correct no English fallback behavior."
"https://scholarshiptop.com/providers/loyola-university-chicago","200","indexable default","self","0","Loyola University Chicago","1872","Keep index","Strong provider detail."
"https://scholarshiptop.com/providers/tarleton-state-university","200","indexable default","self","0","Tarleton State University","1625","Keep index; improve custom description","Good list/context; description looked generic."
"https://scholarshiptop.com/providers/stetson-university","200","indexable default","self","0","Stetson University","1577","Keep index; improve custom description","Good list/context; description looked generic."
