"domain","success","hasPartnershipSignals","confidenceScore","emails","evidenceUrl","matchedKeywords","evidenceSnippet","errorCount"
"akforest.org","yes","no","45","%20afa@akforest.org;afa@akforest.org","https://akforest.org","","","9"
"cetoweb.org","yes","no","10","","","","","0"
"www.okdemolay.com","yes","no","10","","","","","0"
"www.ipga.com","yes","no","45","illinoispga@gmail.com;cwilliams@pgahq.com;agracik@pgahq.com;bslocum@pgahq.com;bseymour@pgahq.com;kbquinn@pgahq.com;cobrien@pgahq.com","https://www.ipga.com/contact","","","0"
"www.idahogcsa.org","yes","no","10","","","","","0"
"www.civicfoundationnc.org","no","no","0","","","","","0"
"pa-foundation.org","no","no","0","","","","","0"
"www.swana-wi.org","yes","no","45","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;460ff4620fa44cba8df530afde949785@sentry.wixpress.com;ed436f5053144538958ad06a5005e99a@sentry.wixpress.com;88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com;9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com;18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com;2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com;271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com;5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com;assistantswanawi@gmail.com;swanawi@gmail.com;example@mysite.com","https://www.swana-wi.org","","","0"
"hsrodeo-nebraska.com","yes","no","45","jill@hsrodeo-nebraska.com;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com;54b4aac306184111a223c0f4aea635c3@sentry.wixpress.com;18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com;8c4075d5481d476e945486754f783364@sentry.io;9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com;460ff4620fa44cba8df530afde949785@sentry.wixpress.com;ed436f5053144538958ad06a5005e99a@sentry.wixpress.com;2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com;8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com;78f7996315bc402f9dcb8a2f974b82d1@sentry.wixpress.com;046c982186afa15dc9513490293d26b1@o37417.ingest.sentry.io;5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com;271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com","https://hsrodeo-nebraska.com","","","0"
"www.miamifoundation.org","yes","no","45","info@miamifoundation.org","https://www.miamifoundation.org","","","0"
"www.cffoxvalley.org","yes","yes","75","mschuessler@cffoxvalley.org;dweiss@cffoxvalley.org;mlippart@cffoxvalley.org;cmickelson@cffoxvalley.org;cschommer@cffoxvalley.org;charrison@cffoxvalley.org;khicks@cffoxvalley.org;blatour@cffoxvalley.org;hjudge@cffoxvalley.org;aboots@cffoxvalley.org;rnason@cffoxvalley.org;info@cffoxvalley.org","https://www.cffoxvalley.org/partner","","","0"
